Fecha,ID,NXXX,Cantidad,Precio_prod
2017/1/11,400004,55417XXXXXXX,4,4072
2017!/{1-/.11,400008,55417XXXXXXX,3,8362
2017!/{1-/.11,400007,554170000029,4,6343
2017/1/11,400002,554170000029,3,1445
2017/1/12,400006,554170000030,3,9643
2017/1/12,400001,554170000030,3,1962
2017/1/12,400005,554170000031,2,5022
2017/1/12,400002,554170000031,2,3120
2017/1/12,4XXXXX,554170000031,3,2301
2017/1/12,400006,55417XXXXXXX,4,4918
2017!/{1-/.12,400001,554170000033,5,1982
2017!/{1-/.12,400004,554170000034,5,3740
2017/1/13,4XXXXX,554170000035,4,7852
2017/1/13,400001,554170000035,5,8124
2017/1/13,4XXXXX,554170000036,2,3630
2017_/1/13,400010,554170000036,4,6998
2017/1/13,400006,554170000036,5,5973
2017!/{1-/.14,400001,554170000037,3,3992
2017/1/15,400009,554170000038,1,9029
2017/1/15,400006,554170000038,4,5712
2017/1/15,400007,554170000039,3,6099
2017/1/15,400004,554170000039,5,5512
2017!/{1-/.15,400008,554170000039,4,4868
2017_/1/15,4XXXXX,554170000040,4,6600
2017/1/15,400007,554170000041,3,4430
2017/1/15,400005,554170000041,5,7621
2017/1/15,400008,554170000041,5,3036
2017/1/15,400003,554170000041,2,7548
2017/1/16,400010,55417XXXXXXX,4,9646
2017/1/16,400007,55417XXXXXXX,4,8791
2017/1/16,4XXXXX,55417XXXXXXX,4,5660
2017/1/16,400006,554170000043,3,1519
2017/1/16,400007,554170000044,4,5524
2017/1/17,400003,554170000045,3,9548
2017/1/17,400010,554170000046,4,1585
2017/1/17,400009,554170000046,3,6100
2017!/{1-/.18,400010,554170000047,4,3456
2017/1/19,400007,554170000048,1,2391
2017!/{1-/.19,400009,554170000048,5,5479
2017/1/19,400003,554170000048,3,2991
2017!/{1-/.19,400002,554170000049,5,4637
2017/1/19,400008,554170000049,5,5552
2017/1/20,400003,554170000050,4,5731
2017_/1/20,4XXXXX,554170000050,1,6379
2017/1/20,400007,554170000051,2,1394
2017/1/20,400008,554170000051,3,5812
2017/1/20,400008,554170000052,5,7775
2017/1/20,400003,554170000052,5,2352
2017/1/20,400001,554170000052,1,1506
2017/1/20,400009,554170000052,5,5154
2017/1/20,400003,554170000053,5,5080
2017/1/20,4XXXXX,554170000053,2,9628
2017/1/20,400006,554170000053,4,8461
2017/1/20,400001,554170000053,3,5134
2017/1/21,400005,554170000054,5,6939
2017/1/21,400004,554170000054,5,4923
2017_/1/21,400003,554170000054,1,8041
2017/1/21,400010,554170000054,2,7684
2017/1/21,400005,554170000055,2,8227
2017/1/21,400007,554170000055,3,4977
2017_/1/21,400008,554170000055,3,4648
2017/1/21,400010,554170000056,3,3288
2017/1/21,400004,554170000056,2,5431
2017/1/21,400005,554170000057,2,4608
2017/1/21,4XXXXX,554170000057,5,1139
2017!/{1-/.22,400007,554170000058,2,9073
2017/1/23,4XXXXX,554170000059,5,8883
2017/1/23,400007,554170000060,1,5706
2017/1/23,400004,554170000060,1,3190
2017/1/23,400005,554170000061,4,9047
2017!/{1-/.23,400010,554170000061,1,5690
2017!/{1-/.23,400006,554170000062,4,9001
2017/1/23,400008,554170000063,2,2161
2017/1/23,400004,554170000063,4,7397
2017/1/23,400002,554170000063,1,5036
2017/1/24,400002,554170000064,4,6186
2017/1/24,400003,554170000064,4,9206
2017/1/24,400007,554170000064,5,3435
2017/1/24,400002,554170000065,1,1771
2017/1/24,400010,554170000065,4,2613
2017/1/24,400009,554170000065,2,8311
2017/1/24,400004,554170000065,5,9783
2017/1/24,400010,554170000066,1,1150
2017/1/24,400001,554170000066,4,9692
2017!/{1-/.24,4XXXXX,554170000067,2,7296
2017/1/24,400006,554170000067,4,5195
2017/1/24,400002,554170000067,5,6552
2017/1/24,400003,554170000068,1,9791
2017/1/24,400007,554170000068,2,7832
2017!/{1-/.24,400010,554170000068,5,4452
2017/1/25,400006,554170000069,5,2588
2017/1/26,400010,554170000070,3,7964
2017/1/26,400007,554170000070,4,1933
2017/1/26,4XXXXX,554170000070,3,3513
2017!/{1-/.26,400008,554170000071,1,3555
2017/1/26,400004,554170000071,1,2698
2017!/{1-/.26,400007,554170000071,2,5781
2017/1/27,400003,554170000072,1,5365
2017/1/27,400005,554170000072,5,7807
2017/1/28,400003,554170000073,1,5699
2017/1/28,400004,554170000073,1,5943
2017/1/28,400001,554170000073,4,1253
2017!/{1-/.28,4XXXXX,554170000073,2,3811
2017/1/28,400008,554170000074,3,4065
2017_/1/28,400007,554170000074,3,9467
2017/1/28,400009,554170000074,2,1931
2017/1/28,400002,554170000074,1,3062
2017!/{1-/.28,400010,554170000075,3,1500
2017/1/28,400003,554170000075,2,1582
2017/1/28,400005,554170000075,2,4876
2017/1/29,400002,554170000076,5,7254
2017/1/29,400007,554170000076,4,5349
2017!/{1-/.29,400006,554170000076,4,3785
2017/1/29,400005,554170000076,3,2871
2017/1/29,400008,554170000077,3,2656
2017/1/29,400001,554170000077,5,2797
2017/1/29,400007,554170000077,4,9725
2017/1/29,400002,554170000077,1,3553
2017/1/29,400009,554170000078,5,3093
2017/1/29,400001,554170000078,5,1613
2017/1/29,400010,554170000078,5,9694
2017/1/29,400003,554170000079,2,6232
2017_/1/29,400010,554170000080,4,2339
2017/1/29,400002,554170000080,3,3184
2017/1/29,400001,554170000080,1,9679
2017/1/29,400007,554170000080,2,3927
2017/1/30,400004,554170000081,5,5880
2017/1/30,400008,554170000081,5,4617
2017/1/30,400002,554170000081,3,3854
2017/1/30,400010,554170000081,3,5104
2017/2/1,400010,554170000082,4,8860
2017!/{2-/.1,400005,554170000082,2,4846
2017!/{2-/.1,400004,554170000082,1,9886
2017_/2/1,400007,554170000082,5,7361
2017/2/1,400003,554170000083,1,2975
2017/2/1,400010,554170000083,4,6030
2017/2/1,400005,554170000083,1,6270
2017/2/1,400009,554170000084,4,5510
2017!/{2-/.1,400010,554170000084,1,8443
2017/2/1,400005,554170000085,4,8943
2017_/2/1,400001,554170000085,5,8765
2017!/{2-/.1,4XXXXX,554170000085,2,1481
2017/2/1,400007,554170000086,2,3095
2017_/2/2,400003,554170000087,3,3195
2017/2/2,400009,554170000087,2,1655
2017/2/3,400008,554170000088,3,1914
2017/2/3,400003,554170000088,5,3592
2017/2/3,400006,554170000088,1,5911
2017/2/4,400001,554170000089,4,7034
2017/2/4,4XXXXX,554170000089,2,2634
2017/2/4,400009,554170000090,4,6456
2017/2/4,400008,554170000090,4,9916
2017/2/4,400010,554170000090,3,6788
2017/2/4,400005,554170000090,4,5271
2017_/2/4,400001,554170000091,2,2874
2017/2/4,400007,554170000092,3,4496
2017/2/4,400004,554170000093,5,4533
2017/2/4,400001,554170000093,2,9512
2017/2/5,400005,554170000094,5,9812
2017/2/5,400007,554170000094,5,9541
2017/2/5,400010,554170000094,4,6706
2017/2/5,4XXXXX,554170000094,2,8226
2017/2/5,400003,554170000095,5,9673
2017/2/5,400001,554170000095,5,5461
2017/2/5,400002,554170000095,1,2917
2017/2/5,400008,554170000095,1,9388
2017/2/5,400009,554170000096,2,6874
2017/2/5,400007,554170000096,3,8292
2017/2/5,400005,554170000096,4,3746
2017!/{2-/.5,400002,554170000096,1,1287
2017/2/5,400004,55417XXXXXXX,5,9044
2017/2/5,400009,55417XXXXXXX,1,5933
2017_/2/5,400006,55417XXXXXXX,2,1118
2017/2/6,400004,554170000098,2,4324
2017/2/7,400005,554170000099,4,8972
2017/2/7,400002,554170000100,5,5499
2017/2/7,4XXXXX,554170000100,4,2584
2017/2/7,400007,554170000100,2,9303
2017/2/7,400004,554170000101,2,2779
2017/2/7,400003,554170000101,1,9066
2017/2/7,400007,554170000101,4,9638
2017/2/7,400009,554170000101,4,4243
2017/2/8,400003,554170000102,4,8067
2017/2/8,4XXXXX,554170000102,2,7013
2017/2/9,400006,554170000103,2,4205
2017!/{2-/.9,400005,554170000103,3,7415
2017/2/9,400007,554170000103,4,5709
2017/2/9,400006,554170000104,3,7909
2017/2/9,400003,554170000104,2,8921
2017_/2/9,400009,554170000105,1,6845
2017/2/9,400003,554170000105,1,4896
2017/2/9,4XXXXX,554170000105,4,7058
2017/2/9,400006,554170000105,3,6836
2017/2/9,400007,554170000106,5,6353
2017/2/9,400004,554170000106,2,7438
2017/2/9,4XXXXX,554170000107,1,6312
2017_/2/9,400008,554170000107,5,3475
2017/2/9,400009,554170000107,4,3364
2017/2/10,400009,554170000108,4,9254
2017/2/10,400004,554170000108,5,2350
2017/2/10,400002,554170000108,2,5850
2017/2/10,400007,554170000108,3,3055
2017/2/10,400006,554170000109,2,3690
2017!/{2-/.10,400009,554170000109,3,3074
2017!/{2-/.10,4XXXXX,554170000109,5,8446
2017/2/10,400010,554170000109,5,6453
2017/2/10,400008,554170000110,3,8894
2017/2/10,400002,554170000110,5,2301
2017/2/10,400007,554170000110,4,4767
2017_/2/10,400004,554170000111,3,3422
2017!/{2-/.10,400007,554170000111,4,7527
2017/2/11,400006,554170000112,2,9009
2017/2/12,400008,554170000113,5,6891
2017!/{2-/.12,4XXXXX,554170000113,2,6362
2017/2/12,400001,554170000113,2,3910
2017/2/12,400009,554170000113,5,8129
2017/2/12,400007,554170000114,2,4688
2017_/2/12,400010,554170000114,2,8836
2017/2/12,400005,554170000114,5,4865
2017/2/12,400001,554170000115,2,8287
2017/2/12,400009,554170000115,5,1458
2017/2/12,400004,554170000115,4,5822
2017/2/13,400004,554170000116,4,6715
2017/2/13,4XXXXX,554170000116,4,3242
2017/2/13,400005,554170000117,4,2278
2017/2/13,400004,554170000117,5,4731
2017/2/13,400006,554170000117,3,3911
2017_/2/13,400009,554170000118,1,9143
2017/2/13,400005,554170000118,2,7138
2017/2/14,400001,554170000119,3,3114
2017/2/14,400009,554170000119,1,1401
2017!/{2-/.14,400010,554170000120,5,8215
2017/2/14,400010,554170000121,3,1961
2017/2/14,400007,554170000121,5,7635
2017/2/14,400003,554170000122,1,6963
2017/2/15,400008,554170000123,3,2467
2017/2/15,4XXXXX,554170000123,4,1993
2017!/{2-/.15,400006,554170000124,2,7712
2017/2/15,400009,554170000124,1,2958
2017/2/15,400005,554170000124,4,2098
2017_/2/15,400007,554170000124,1,2360
2017!/{2-/.15,400001,554170000125,4,2783
2017/2/15,400007,554170000125,4,6748
2017/2/15,400007,554170000126,4,2672
2017/2/15,400005,554170000126,5,6118
2017/2/15,400003,554170000126,4,7185
2017!/{2-/.16,400004,554170000127,1,5272
2017/2/16,400006,554170000127,3,6214
2017/2/16,4XXXXX,554170000127,3,5545
2017/2/16,400003,554170000128,2,2929
2017/2/16,400005,554170000128,2,1505
2017/2/16,400001,554170000129,4,6407
2017/2/16,400010,554170000129,4,9087
2017/2/16,400009,554170000129,5,2035
2017/2/16,400002,554170000130,5,6282
2017/2/16,400006,554170000130,4,5410
2017/2/16,400009,554170000130,4,2733
2017/2/17,400003,554170000131,5,1605
2017/2/17,400005,554170000131,3,5385
2017/2/17,400001,554170000131,5,9884
2017/2/17,400009,554170000132,2,9254
2017/2/17,400008,554170000132,1,9419
2017/2/18,400001,554170000133,2,3039
2017/2/18,400003,554170000133,5,4959
2017/2/18,400005,554170000133,2,2683
2017/2/18,400010,554170000134,5,9500
2017_/2/18,4XXXXX,554170000134,1,4283
2017/2/18,400002,554170000134,5,2080
2017/2/18,400009,554170000135,3,5900
2017!/{2-/.18,400005,554170000136,3,1869
2017/2/18,400003,554170000136,2,8536
2017/2/18,4XXXXX,554170000136,3,8653
2017/2/18,400009,554170000136,5,1663
2017!/{2-/.18,400008,554170000137,4,9846
2017/2/18,400005,554170000137,2,3586
2017/2/19,4XXXXX,554170000138,2,3990
2017!/{2-/.19,400003,554170000138,3,1105
2017_/2/19,400004,554170000139,4,2932
2017!/{2-/.19,400010,554170000139,1,1560
2017/2/19,400005,554170000139,4,2497
2017/2/20,400001,554170000140,2,8544
2017/2/20,400007,554170000140,5,4021
2017!/{2-/.20,400004,554170000141,1,8025
2017/2/20,400008,554170000141,1,6079
2017/2/20,400006,554170000141,5,9402
2017/2/20,400005,554170000141,1,1234
2017/2/21,400001,55417XXXXXXX,4,3158
2017/2/21,400008,55417XXXXXXX,2,3478
2017/2/21,400007,55417XXXXXXX,2,3738
2017!/{2-/.21,400001,554170000143,2,7734
2017/2/21,4XXXXX,554170000143,1,9066
2017/2/21,400008,554170000143,5,9113
2017/2/21,400003,554170000143,1,6802
2017/2/21,400003,554170000144,4,6936
2017!/{2-/.21,400008,554170000145,5,4975
2017/2/21,400004,554170000146,4,8515
2017/2/21,400007,554170000146,1,1160
2017_/2/22,4XXXXX,554170000147,3,1473
2017/2/23,400002,554170000148,3,8801
2017_/2/23,400010,554170000148,2,9594
2017!/{2-/.23,400003,55417XXXXXXX,4,1747
2017/2/23,400005,55417XXXXXXX,2,6657
2017/2/24,400001,554170000150,1,1572
2017!/{2-/.24,400010,554170000150,2,8001
2017/2/24,400010,554170000151,1,9067
2017/2/24,400009,554170000151,4,8701
2017_/2/24,4XXXXX,554170000151,5,6269
2017_/2/24,400001,554170000151,3,8166
2017_/2/24,400006,554170000152,3,8366
2017/2/24,400005,554170000152,1,9947
2017/2/25,400003,554170000153,1,4306
2017/2/25,400006,554170000153,4,9979
2017/2/25,400010,554170000154,4,6026
2017/2/25,400003,554170000154,5,6099
2017/2/25,400007,554170000154,1,4453
2017/2/25,400008,554170000155,1,4516
2017/2/25,400003,554170000155,1,6892
2017/2/25,400009,554170000155,4,9940
2017/2/26,400006,554170000156,3,7901
2017/2/26,400010,554170000156,4,7873
2017/2/26,400004,554170000156,3,4354
2017/2/26,400003,554170000156,1,4433
2017/2/26,400003,554170000157,1,9262
2017/2/26,400002,554170000158,5,3465
2017/2/26,400004,554170000158,4,8356
2017/2/27,400001,554170000159,4,1225
2017/2/27,400008,554170000159,2,9404
2017!/{2-/.27,400006,554170000159,2,6282
2017/2/27,400004,554170000159,1,5452
2017/2/27,400002,554170000160,4,6397
2017/2/27,400005,554170000160,1,8321
2017/2/27,400007,554170000160,2,5091
2017_/2/27,400004,554170000161,5,5089
2017/2/27,400008,554170000161,1,7294
2017!/{2-/.27,400003,554170000161,2,5149
2017/2/27,400002,554170000161,1,9543
2017/2/28,400004,554170000162,1,5059
2017_/2/28,400007,554170000162,1,6431
2017/2/28,400001,554170000162,4,5267
2017!/{2-/.28,400009,554170000162,3,5203
2017/2/28,400009,554170000163,2,7107
2017!/{2-/.28,400005,554170000164,4,9135
2017/2/28,4XXXXX,554170000164,1,7973
2017_/2/28,400004,554170000164,4,6307
2017/2/28,400008,554170000164,5,9239
2017/2/29,400002,554170000165,4,9017
2017/2/29,400004,554170000166,4,4328
2017/2/29,400008,554170000166,4,9380
2017/2/29,4XXXXX,554170000166,2,4354
2017/2/29,400004,554170000167,3,8696
2017/2/29,400002,554170000167,4,4223
2017_/2/30,400010,554170000168,2,7512
2017/2/30,400008,554170000168,1,5790
2017/2/30,400008,554170000169,4,8566
2017/2/30,400010,554170000170,1,4183
2017/3/1,400003,554170000171,1,3885
2017/3/1,400010,554170000171,2,6189
2017/3/1,4XXXXX,554170000171,1,9535
2017/3/1,400002,554170000172,4,7005
2017/3/1,400005,554170000172,5,9120
2017/3/1,4XXXXX,554170000172,5,8516
2017!/{3-/.1,400010,554170000172,4,9271
2017/3/1,400008,554170000173,2,5109
2017/3/1,400010,554170000173,5,6476
2017/3/1,400007,554170000174,3,4242
2017/3/1,400002,554170000174,2,5870
2017/3/1,400009,554170000174,3,3668
2017/3/1,4XXXXX,554170000174,3,1075
2017/3/1,400009,554170000175,5,7672
2017/3/1,400004,554170000175,3,7225
2017/3/2,400004,554170000176,5,6878
2017/3/2,400004,554170000177,1,1023
2017/3/2,400003,554170000177,4,5870
2017/3/3,400004,554170000178,1,7317
2017/3/3,400005,554170000178,5,1873
2017/3/4,400002,554170000179,1,6822
2017_/3/4,400010,554170000179,4,9939
2017/3/4,400005,554170000180,3,7128
2017/3/4,400008,554170000180,1,5815
2017!/{3-/.4,400002,554170000180,4,4192
2017/3/4,400010,554170000180,5,7383
2017_/3/4,400006,554170000181,3,1791
2017/3/4,400010,554170000181,2,6473
2017_/3/5,400003,554170000182,2,3613
2017_/3/5,400001,554170000182,1,3968
2017/3/5,400009,554170000182,5,2864
2017/3/5,4XXXXX,554170000182,5,2422
2017/3/5,400001,554170000183,2,5324
2017/3/5,400004,554170000183,2,1936
2017/3/5,400008,554170000184,5,6228
2017!/{3-/.5,400002,554170000184,5,7673
2017!/{3-/.5,400009,554170000184,5,6620
2017/3/5,400010,554170000184,5,3169
2017_/3/6,400009,554170000185,5,5801
2017/3/6,400007,554170000185,2,6655
2017/3/6,400008,554170000185,5,6564
2017/3/6,400010,554170000185,2,7025
2017!/{3-/.6,400008,554170000186,1,5852
2017/3/7,400004,55417XXXXXXX,1,4606
2017/3/7,400001,55417XXXXXXX,1,4891
2017/3/7,400010,55417XXXXXXX,3,7702
2017_/3/7,400003,554170000188,4,8194
2017!/{3-/.7,400004,554170000188,4,1906
2017_/3/7,400010,554170000188,1,7650
2017/3/7,400008,554170000188,3,4452
2017/3/7,4XXXXX,554170000189,1,5539
2017/3/7,400002,554170000190,3,3895
2017!/{3-/.7,400010,554170000190,4,3301
2017/3/8,400009,554170000191,4,4692
2017/3/8,400003,554170000192,3,5260
2017/3/8,400010,554170000192,2,5322
2017/3/8,400010,554170000193,5,8421
2017/3/8,400002,554170000193,4,5250
2017/3/8,4XXXXX,554170000193,1,7606
2017/3/8,400005,554170000194,1,1599
2017/3/8,400003,554170000194,4,9134
2017/3/8,4XXXXX,554170000194,5,5928
2017/3/8,400001,554170000194,3,2373
2017/3/9,400001,554170000195,5,1860
2017/3/9,400002,554170000195,3,5259
2017/3/9,400007,554170000196,1,4200
2017/3/9,400010,554170000196,4,7254
2017/3/9,4XXXXX,554170000196,2,8767
2017/3/9,400004,554170000197,2,1377
2017/3/10,400009,55417XXXXXXX,2,1541
2017/3/10,400007,55417XXXXXXX,4,1589
2017/3/10,400008,55417XXXXXXX,4,1599
2017/3/10,400010,554170000199,3,7674
2017/3/10,400006,554170000200,4,2484
2017/3/10,400009,554170000200,3,6759
2017!/{3-/.10,400002,554170000200,2,1923
2017/3/10,400001,554170000200,2,1016
2017/3/10,400001,554170000201,3,2154
2017!/{3-/.10,400002,554170000201,3,1563
2017/3/10,400008,554170000201,1,3396
2017/3/10,400010,554170000201,4,3093
2017/3/11,400003,554170000202,1,9905
2017/3/11,4XXXXX,554170000202,5,3587
2017/3/11,400009,554170000203,2,9117
2017/3/11,4XXXXX,554170000203,3,9173
2017/3/11,400003,554170000203,2,5763
2017/3/11,400005,554170000203,1,1090
2017/3/11,4XXXXX,554170000204,5,1804
2017!/{3-/.11,400005,554170000204,2,9223
2017_/3/11,400008,554170000204,3,3434
2017!/{3-/.11,4XXXXX,554170000205,1,3981
2017/3/11,400007,554170000205,5,6708
2017_/3/11,400002,554170000205,1,7054
2017/3/11,400009,554170000205,5,6469
2017_/3/12,400005,554170000206,3,3794
2017/3/12,400006,554170000206,1,1131
2017!/{3-/.12,400008,554170000206,5,4639
2017/3/12,400007,554170000206,1,8594
2017/3/12,400004,554170000207,5,4566
2017/3/12,400005,554170000208,3,6651
2017/3/12,400007,554170000208,2,2271
2017/3/12,400009,554170000208,3,5900
2017/3/12,400002,554170000209,1,6971
2017/3/12,400008,554170000209,5,4553
2017/3/12,400009,554170000209,2,7393
2017/3/12,400003,554170000210,5,5562
2017_/3/12,400002,554170000210,3,8060
2017/3/13,400006,554170000211,4,3586
2017/3/13,400009,554170000211,3,7352
2017/3/13,400010,554170000211,4,5261
2017/3/13,400003,554170000212,1,2466
2017/3/13,400008,554170000212,2,6658
2017_/3/13,400009,554170000212,3,6165
2017/3/13,400005,554170000213,4,2483
2017!/{3-/.13,400008,554170000214,3,2306
2017!/{3-/.13,4XXXXX,554170000214,2,3340
2017/3/13,400002,554170000214,5,5427
2017/3/13,400005,554170000215,2,9322
2017/3/13,400001,554170000215,4,9808
2017/3/13,400007,554170000215,5,5944
2017/3/14,4XXXXX,554170000216,5,2794
2017/3/14,400003,554170000216,3,9898
2017/3/14,400010,554170000217,2,7303
2017/3/14,400005,554170000217,2,8567
2017/3/14,400002,554170000217,5,4031
2017/3/14,400008,554170000217,3,1341
2017/3/15,400008,554170000218,4,2842
2017!/{3-/.15,400005,554170000218,2,3544
2017/3/15,400004,554170000218,3,8716
2017/3/15,400004,554170000219,5,3514
2017/3/15,400005,554170000219,5,5142
2017/3/15,400007,554170000219,3,6800
2017!/{3-/.15,400008,554170000219,4,2996
2017!/{3-/.15,400001,554170000220,5,5063
2017/3/15,400008,554170000220,1,5515
2017/3/15,400009,554170000220,3,2172
2017/3/15,400005,554170000220,1,1849
2017/3/16,400003,554170000221,2,4405
2017/3/16,400007,554170000221,2,9054
2017/3/17,400003,554170000222,3,7220
2017/3/17,400008,554170000222,4,9328
2017/3/17,400007,554170000223,2,4566
2017!/{3-/.17,400002,554170000223,3,6091
2017/3/17,400004,554170000223,2,1267
2017/3/17,400005,554170000224,5,3619
2017!/{3-/.17,400004,554170000224,2,8497
2017/3/17,400009,554170000224,3,7365
2017/3/17,400003,554170000224,3,8156
2017/3/17,400001,554170000225,1,9838
2017/3/17,400010,554170000225,3,8258
2017/3/17,400003,554170000225,3,1611
2017/3/17,400004,554170000225,3,5353
2017/3/18,400005,554170000226,1,5382
2017/3/18,400009,554170000226,4,5308
2017/3/18,4XXXXX,554170000226,3,4889
2017/3/18,400002,554170000226,5,5857
2017/3/18,400003,55417XXXXXXX,4,4393
2017/3/18,400009,55417XXXXXXX,5,4223
2017/3/18,400010,55417XXXXXXX,4,6314
2017!/{3-/.18,400002,55417XXXXXXX,1,1917
2017/3/18,400009,55417XXXXXXX,3,6867
2017/3/19,400008,55417XXXXXXX,4,1273
2017/3/19,400006,55417XXXXXXX,4,5326
2017/3/19,400006,554170000230,4,5248
2017/3/19,400008,554170000230,1,1193
2017/3/19,400003,554170000230,3,8915
2017/3/19,400007,554170000230,4,2725
2017/3/19,400010,55417XXXXXXX,5,2534
2017/3/19,400002,55417XXXXXXX,3,4117
2017/3/19,400004,554170000232,1,2776
2017/3/19,400007,554170000232,5,4473
2017/3/19,400001,554170000233,1,5711
2017_/3/19,400008,554170000233,2,2104
2017/3/19,400007,554170000233,1,7577
2017/3/20,400005,55417XXXXXXX,3,7431
2017/3/20,400007,55417XXXXXXX,5,2138
2017/3/20,400003,55417XXXXXXX,3,8021
2017/3/20,4XXXXX,55417XXXXXXX,2,1379
2017/3/20,400005,554170000235,2,9517
2017/3/20,400001,554170000235,5,5271
2017/3/20,400003,554170000235,5,7680
2017/3/21,400006,554170000236,1,6960
2017/3/21,400002,554170000236,5,3482
2017/3/21,400009,554170000236,3,6645
2017!/{3-/.21,400003,554170000236,5,4929
2017/3/21,400008,554170000237,4,7539
2017!/{3-/.21,400007,554170000237,4,1553
2017!/{3-/.21,400007,554170000238,3,8875
2017_/3/21,400009,554170000238,1,6209
2017/3/21,400001,554170000238,1,9788
2017/3/22,4XXXXX,554170000239,2,6181
2017/3/22,400008,554170000239,1,9788
2017/3/22,400005,554170000239,1,9600
2017!/{3-/.23,400003,55417XXXXXXX,2,8001
2017/3/23,400001,55417XXXXXXX,3,7031
2017/3/23,400009,554170000241,2,6640
2017/3/23,400005,554170000241,2,2319
2017/3/23,400006,554170000241,3,8097
2017/3/23,400009,55417XXXXXXX,4,9121
2017/3/23,400002,55417XXXXXXX,1,8160
2017/3/23,400005,55417XXXXXXX,5,5528
2017/3/23,400002,554170000243,1,1994
2017/3/23,400009,554170000243,1,1894
2017/3/23,400006,554170000243,4,7985
2017/3/23,400001,554170000244,3,4270
2017/3/24,400010,554170000245,4,3789
2017/3/24,400006,554170000245,5,4681
2017/3/24,400007,554170000245,5,4091
2017/3/24,400001,554170000245,3,6240
2017/3/25,4XXXXX,554170000246,1,6578
2017_/3/25,400009,554170000247,4,1720
2017/3/25,400010,554170000247,1,6759
2017/3/25,400002,554170000247,2,8573
2017/3/25,400006,554170000247,1,2152
2017/3/26,400003,554170000248,1,6585
2017!/{3-/.26,4XXXXX,554170000248,2,7482
2017/3/26,400007,554170000248,1,3532
2017/3/26,400004,554170000248,1,9978
2017/3/26,400004,554170000249,2,7220
2017/3/26,400002,554170000249,1,9902
2017!/{3-/.26,400001,554170000249,2,3074
2017/3/26,4XXXXX,554170000249,2,5014
2017/3/26,400007,554170000250,2,8764
2017/3/26,400006,554170000250,3,1822
2017/3/26,400001,554170000250,4,5901
2017/3/26,400004,554170000250,3,7827
